TICKER;PER;DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL
MICEXINDEXCF;5;20180103;100500;2114.8800000;2123.6800000;2114.5900000;2123.6800000;609749674
MICEXINDEXCF;5;20180103;101000;2123.9700000;2125.3100000;2121.4800000;2121.7500000;271441157
MICEXINDEXCF;5;20180103;101500;2121.7500000;2124.5800000;2121.3900000;2124.3200000;231278243
MICEXINDEXCF;5;20180103;102000;2124.3200000;2125.7000000;2123.0600000;2123.5700000;242974850
MICEXINDEXCF;5;20180103;102500;2123.5800000;2123.5800000;2121.9200000;2122.9400000;104993159
MICEXINDEXCF;5;20180103;103000;2123.0000000;2123.5900000;2122.7700000;2123.0200000;149324252
MICEXINDEXCF;5;20180103;103500;2123.0200000;2126.0300000;2123.0200000;2125.7500000;132815804
MICEXINDEXCF;5;20180103;104000;2125.7500000;2129.4000000;2125.6300000;2129.4000000;258102742
MICEXINDEXCF;5;20180103;104500;2129.3600000;2132.7700000;2129.3600000;2131.4800000;316939025
MICEXINDEXCF;5;20180103;105000;2131.5300000;2132.0300000;2130.6100000;2130.8800000;107245485
MICEXINDEXCF;5;20180103;105500;2130.8700000;2131.8500000;2130.6800000;2131.5300000;77332590
MICEXINDEXCF;5;20180103;110000;2131.5400000;2131.6600000;2129.7900000;2131.1800000;97126289
MICEXINDEXCF;5;20180103;110500;2131.1600000;2134.5100000;2131.0500000;2134.1300000;520103000
MICEXINDEXCF;5;20180103;111000;2134.3000000;2136.8000000;2133.6100000;2136.5700000;306289404
MICEXINDEXCF;5;20180103;111500;2136.5600000;2138.2200000;2136.0400000;2137.4000000;324478504
MICEXINDEXCF;5;20180103;112000;2137.3000000;2138.7000000;2136.2900000;2137.9900000;271605893
MICEXINDEXCF;5;20180103;112500;2137.9700000;2138.2200000;2134.9200000;2136.5300000;253767398
MICEXINDEXCF;5;20180103;113000;2136.5500000;2138.0100000;2135.7300000;2137.3100000;379368365
MICEXINDEXCF;5;20180103;113500;2137.3900000;2138.1500000;2135.7700000;2137.8600000;364801490
